Legacy URL,Normalised URL,Discovery source,Current status code,Current redirect destination,Indexability,Canonical URL,Robots directive,Sitemap inclusion,Title,Meta description,H1,Content type,Word count,GSC clicks,GSC impressions,Average position,GA4 sessions,Conversions,Active ad usage,Backlinks,Internal links,New URL,Required response: 200/301/308/404/410,Redirect reason,Priority: P0/P1/P2/P3,QA result,Owner,Notes
https://sciencedivine.org/,https://sciencedivine.org/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/sitemap-misc.xml,200,,Yes,https://sciencedivine.org/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,Home,"The Science Divine Foundation, a global initiative spreading the message of love, awareness, and meditation.",,page,817,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-12-04T17:09:43
https://sciencedivine.org/3days-workshop/,https://sciencedivine.org/3days-workshop/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/3days-workshop/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,3days workshop,"Life Transforming Meditation Retreat Looking to activate your mind’s full potential !!Join us on a 3-day advanced meditation retreat 🧘‍♀️ 25th - 27th November, Haridwar Book Now Get a free consultation 40+ YEARS OF SPIRITUAL GUIDANCE BY SAKSHI SHREE 5M+ Lives Impacted Worldwide 1,000+ Meditation Events Organized Globally 9/10 Experience Inner Peace and Clarity Seeker",,page,1716,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-12-04T17:32:34
https://sciencedivine.org/7-chakras-of-body/,https://sciencedivine.org/7-chakras-of-body/,WordPress REST API: posts | XML sitemap: https://sciencedivine.org/post-sitemap.xml,200,,Yes,https://sciencedivine.org/7-chakras-of-body/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,What are the 7 Chakras &#038; How They Affect Your Life,"Explore what are the 7 chakras of life and discover how they influence every aspect of your well-being. Learn to harmonize the 7 chakras in our body for a healthier, more balanced life.",,post,716,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2024-03-30T07:06:17
https://sciencedivine.org/about-sakshi-shree/,https://sciencedivine.org/about-sakshi-shree/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/about-sakshi-shree/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,About Sakshi shree,"Sakshi Shree - A spiritual master and mystic! In the supermarket of spirituality, today, spiritual masters have been replaced by strange readymade systems, stereotype techniques and methods of meditation which have no soul in them. They are like generic over-the-counter pills doing more harm than good. Sakshi Shree will guide you with specific spiritual processes,",The Deep Connection Between Meditation and the Soul,page,422,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-12-04T17:31:45
https://sciencedivine.org/about-science-divine-movement/,https://sciencedivine.org/about-science-divine-movement/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/about-science-divine-movement/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,About &#8211; Science Divine Movement,"Science Divine Movement Sound Body, Sound Mind, Self Realisation. Our Mission Our mission at the Science Divine Movement is to ignite a transformative journey for individuals seeking spiritual growth and personal fulfillment. Through accessible teachings and holistic practices, we empower our community to awaken their inner potential, cultivate a deeper understanding of themselves, and embrace",,page,428,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-05-28T18:01:46
https://sciencedivine.org/addictions/,https://sciencedivine.org/addictions/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/addictions/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,Addictions,"Addiction can happen for many reasons, often as a way to cope with difficult emotions or situations. It's a struggle that affects not only our bodies but also our hearts and minds, leaving us feeling overwhelmed and trapped in a cycle we can't break. We at Science Divine understand these struggles deeply. With compassion, understanding, and under Sakshi Shree ji's guidance we offer a helping hand to guide individuals through the challenges of addiction. Join us on a journey of healing and transformation. Break free from the grip of addiction and reclaim control of your life.",,page,212,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-05-29T16:48:10
https://sciencedivine.org/ajna-chakra/,https://sciencedivine.org/ajna-chakra/,WordPress REST API: posts | XML sitemap: https://sciencedivine.org/post-sitemap.xml,200,,Yes,https://sciencedivine.org/ajna-chakra/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,What is Ajna Chakra &#038; How to Activate it,"Discover the secrets of the Ajna Chakra, including its location, benefits, and powers. Learn effective techniques for Ajna Chakra activation through meditation, mudras, and more in this comprehensive guide.",,post,608,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2024-04-03T09:58:33
https://sciencedivine.org/anahata-chakra/,https://sciencedivine.org/anahata-chakra/,WordPress REST API: posts | XML sitemap: https://sciencedivine.org/post-sitemap.xml,200,,Yes,https://sciencedivine.org/anahata-chakra/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,What is Anahata Chakra &#038; How to Activate it,"Learn how to activate Anahata Chakra with meditation, mudras, and practices for emotional balance and spiritual growth.",,post,613,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2024-04-03T10:01:13
https://sciencedivine.org/annapurna-sewa/,https://sciencedivine.org/annapurna-sewa/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/annapurna-sewa/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,Annapurna Sewa,"Annapurna Sewa — Feeding Hearts, Nourishing Souls Annapurna Sewa — Feeding Hearts, Nourishing Souls At the heart of every spiritual path lies compassion — and Annapurna Sewa is compassion served on a plate. Under the guidance of Sadhguru Sakshi Shree, this initiative ensures that every soul who enters the ashram is fed — freely, lovingly,","Annapurna Sewa — Feeding Hearts, Nourishing Souls",page,415,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-12-05T16:17:21
https://sciencedivine.org/anxiety/,https://sciencedivine.org/anxiety/,WordPress REST API: pages | XML sitemap: https://sciencedivine.org/page-sitemap.xml,200,,Yes,https://sciencedivine.org/anxiety/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Yes,Anxiety,"If feeling anxious about what lies ahead or overwhelmed by constant worry makes you feel lonely, then know that you are not alone. Anxiety has a way of magnifying life's challenges, making even the simplest tasks seem daunting. But there's hope and a way forward. Join us on a journey to discover peace amidst the chaos. Under Sakshi Shree ji's guidance, explore practical solutions and age-old wisdom to help calm your mind and ease your worries. Find support in a welcoming community as you overcome anxiety and regain control of your life.",,page,215,,,,,,,,,,,,,NOT TESTED,SEO migration lead,WP modified: 2025-05-29T16:48:14
